Model;Approach;Repetition;Resets;stepsUntilLastReset;lastCandidatePrint
nand.pm(N=50,K=3);cautious1;6;2;2804;Resets: 2 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;7;2;2804;Resets: 2 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;8;17;23834;Resets: 17 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;11;4;5608;Resets: 4 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;10;0;0;init
nand.pm(N=50,K=3);cautious1;12;5;7010;Resets: 5 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;13;4;5608;Resets: 4 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;14;8;11216;Resets: 8 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;15;4;5608;Resets: 4 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;17;0;0;init
nand.pm(N=50,K=3);cautious1;16;4;5608;Resets: 4 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;18;1;1402;Resets: 1 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;19;2;2804;Resets: 2 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;20;1;1402;Resets: 1 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;21;8;11216;Resets: 8 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;22;10;14020;Resets: 10 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;91;0;0;init
nand.pm(N=50,K=3);cautious1;23;7;9814;Resets: 7 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;24;2;2804;Resets: 2 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;25;1;1402;Resets: 1 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;26;10;14020;Resets: 10 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;29;3;4206;Resets: 3 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;28;2;2804;Resets: 2 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;30;32;44864;Resets: 32 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;31;3;4206;Resets: 3 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;32;1;1402;Resets: 1 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;33;2;2804;Resets: 2 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;35;0;0;init
nand.pm(N=50,K=3);cautious1;34;0;0;init
nand.pm(N=50,K=3);cautious1;36;16;22432;Resets: 16 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;37;3;4206;Resets: 3 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;38;0;0;init
nand.pm(N=50,K=3);cautious1;39;5;7010;Resets: 5 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;40;4;5608;Resets: 4 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;41;16;22432;Resets: 16 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;42;1;1402;Resets: 1 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;43;8;11216;Resets: 8 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;44;5;7010;Resets: 5 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;47;6;8412;Resets: 6 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;46;1;1402;Resets: 1 visitNo: 1 candSize: 1
