Model;Approach;Repetition;Stats;lastCandPrint
nand.pm(N=50,K=3);cautious10;4;Resets 2 ;stepsInResetRuns 2822;Resets: 2 visitNo: 10 candSize: 1

nand.pm(N=50,K=3);cautious10;15;Resets 1 ;stepsInResetRuns 1411;Resets: 1 visitNo: 10 candSize: 1

nand.pm(N=50,K=3);cautious10;6;Resets 19 ;stepsInResetRuns 26809;Resets: 19 visitNo: 10 candSize: 1

nand.pm(N=50,K=3);cautious10;3;Resets 3 ;stepsInResetRuns 4233;Resets: 3 visitNo: 10 candSize: 1

nand.pm(N=50,K=3);cautious10;18;Resets 1 ;stepsInResetRuns 1411;Resets: 1 visitNo: 10 candSize: 1

nand.pm(N=50,K=3);cautious10;19;Resets 1 ;stepsInResetRuns 1411;Resets: 1 visitNo: 10 candSize: 1

herman17_oneinit.pm();cautious10;0;TO;Resets: 16064 visitNo: 10 candSize: 34

herman17_oneinit.pm();cautious10;5;TO;Resets: 14889 visitNo: 10 candSize: 33

herman17_oneinit.pm();cautious10;10;TO;Resets: 15962 visitNo: 10 candSize: 34

herman17_oneinit.pm();cautious10;12;TO;Resets: 16016 visitNo: 10 candSize: 34

herman17_oneinit.pm();cautious10;8;TO;Resets: 14806 visitNo: 10 candSize: 34

herman17_oneinit.pm();cautious10;14;TO;Resets: 16476 visitNo: 10 candSize: 34

herman17_oneinit.pm();cautious10;9;TO;Resets: 15563 visitNo: 10 candSize: 34

herman17_oneinit.pm();cautious10;3;TO;Resets: 15398 visitNo: 10 candSize: 34

herman17_oneinit.pm();cautious10;11;TO;Resets: 15670 visitNo: 10 candSize: 34

herman17_oneinit.pm();cautious10;2;TO;Resets: 14959 visitNo: 10 candSize: 34

herman17_oneinit.pm();cautious10;13;TO;Resets: 16138 visitNo: 10 candSize: 34

herman17_oneinit.pm();cautious10;16;TO;Resets: 15864 visitNo: 10 candSize: 34

herman17_oneinit.pm();cautious10;1;TO;Resets: 14919 visitNo: 10 candSize: 34

herman17_oneinit.pm();cautious10;4;TO;Resets: 14995 visitNo: 10 candSize: 34

herman17_oneinit.pm();cautious10;17;TO;Resets: 15895 visitNo: 10 candSize: 34

scale.pm(N=10,M=50);cautious10;13;Resets 3 ;stepsInResetRuns 10901;Resets: 3 visitNo: 10 candSize: 50

gridworld.pm(N=50,p=0.999);cautious10;11;Resets 0 ;stepsInResetRuns 0;Resets: 0 visitNo: 10 candSize: 2499

crowds_nodl.pm(TotalRuns=6,CrowdSize=15);cautious10;9;Resets 0 ;stepsInResetRuns 0;Resets: 0 visitNo: 10 candSize: 1

bluetooth_oneinit.pm(mrec=4);bold01;7;Resets 5 ;stepsInResetRuns 4854;Resets: 5 visitNo: 932 candSize: 1

nand.pm(N=50,K=3);bold01;5;Resets 2 ;stepsInResetRuns 3080;Resets: 2 visitNo: 213 candSize: 1

herman17_oneinit.pm();bold01;3;TO;Resets: 0 visitNo: 7001354 candSize: 34

scale.pm(N=10,M=50);cautious1;16;Resets 1666 ;stepsInResetRuns 4966;Resets: 1666 visitNo: 1 candSize: 2

gridworld.pm(N=50,p=0.999);cautious1;14;Resets 0 ;stepsInResetRuns 0;Resets: 0 visitNo: 1 candSize: 2

gridworld.pm(N=50,p=0.999);cautious1;15;Resets 0 ;stepsInResetRuns 0;Resets: 0 visitNo: 1 candSize: 2

crowds_nodl.pm(TotalRuns=6,CrowdSize=15);cautious1;12;Resets 5 ;stepsInResetRuns 455;Resets: 5 visitNo: 1 candSize: 1

crowds_nodl.pm(TotalRuns=6,CrowdSize=15);cautious1;13;Resets 0 ;stepsInResetRuns 0;Resets: 0 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious10;10;Resets 3 ;stepsInResetRuns 1858;Resets: 3 visitNo: 10 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious10;11;Resets 7 ;stepsInResetRuns 3386;Resets: 7 visitNo: 10 candSize: 1

nand.pm(N=50,K=3);cautious10;8;Resets 0 ;stepsInResetRuns 0;init
nand.pm(N=50,K=3);cautious10;9;Resets 15 ;stepsInResetRuns 21165;Resets: 15 visitNo: 10 candSize: 1

herman17_oneinit.pm();cautious10;18;TO;Resets: 17210 visitNo: 10 candSize: 34

herman17_oneinit.pm();cautious10;6;TO;Resets: 16013 visitNo: 10 candSize: 34

scale.pm(N=10,M=50);cautious10;3;Resets 0 ;stepsInResetRuns 0;Resets: 0 visitNo: 10 candSize: 50

scale.pm(N=10,M=50);cautious10;8;Resets 1 ;stepsInResetRuns 2540;Resets: 1 visitNo: 10 candSize: 50

herman17_oneinit.pm();cautious10;7;TO;Resets: 16199 visitNo: 10 candSize: 34

scale.pm(N=10,M=50);cautious10;10;Resets 5 ;stepsInResetRuns 19056;Resets: 5 visitNo: 10 candSize: 50

scale.pm(N=10,M=50);cautious10;6;Resets 2 ;stepsInResetRuns 8685;Resets: 2 visitNo: 10 candSize: 50

scale.pm(N=10,M=50);cautious10;12;Resets 0 ;stepsInResetRuns 0;Resets: 0 visitNo: 10 candSize: 50

scale.pm(N=10,M=50);cautious10;7;Resets 0 ;stepsInResetRuns 0;Resets: 0 visitNo: 10 candSize: 50

scale.pm(N=10,M=50);cautious10;1;Resets 0 ;stepsInResetRuns 0;Resets: 0 visitNo: 10 candSize: 50

scale.pm(N=10,M=50);cautious10;9;Resets 0 ;stepsInResetRuns 0;Resets: 0 visitNo: 10 candSize: 50

scale.pm(N=10,M=50);cautious10;0;Resets 2 ;stepsInResetRuns 4905;Resets: 2 visitNo: 10 candSize: 50

scale.pm(N=10,M=50);cautious10;11;Resets 1 ;stepsInResetRuns 4459;Resets: 1 visitNo: 10 candSize: 50

scale.pm(N=10,M=50);cautious10;14;Resets 0 ;stepsInResetRuns 0;Resets: 0 visitNo: 10 candSize: 50

herman17_oneinit.pm();cautious10;19;TO;Resets: 16406 visitNo: 10 candSize: 34

scale.pm(N=10,M=50);cautious10;2;Resets 1 ;stepsInResetRuns 5815;Resets: 1 visitNo: 10 candSize: 50

scale.pm(N=10,M=50);cautious10;15;Resets 6 ;stepsInResetRuns 17128;Resets: 6 visitNo: 10 candSize: 50

gridworld.pm(N=50,p=0.999);cautious10;1;Resets 1 ;stepsInResetRuns 195567;Resets: 1 visitNo: 10 candSize: 2499

gridworld.pm(N=50,p=0.999);cautious10;6;Resets 0 ;stepsInResetRuns 0;Resets: 0 visitNo: 10 candSize: 2499

gridworld.pm(N=50,p=0.999);cautious10;4;Resets 0 ;stepsInResetRuns 0;Resets: 0 visitNo: 10 candSize: 2499

gridworld.pm(N=50,p=0.999);cautious10;8;Resets 0 ;stepsInResetRuns 0;Resets: 0 visitNo: 10 candSize: 2499

gridworld.pm(N=50,p=0.999);cautious10;10;Resets 0 ;stepsInResetRuns 0;Resets: 0 visitNo: 10 candSize: 2499

gridworld.pm(N=50,p=0.999);cautious10;5;Resets 0 ;stepsInResetRuns 0;Resets: 0 visitNo: 10 candSize: 2499

scale.pm(N=10,M=50);cautious10;19;Resets 0 ;stepsInResetRuns 0;Resets: 0 visitNo: 10 candSize: 50

gridworld.pm(N=50,p=0.999);cautious10;7;Resets 0 ;stepsInResetRuns 0;Resets: 0 visitNo: 10 candSize: 2499

scale.pm(N=10,M=50);cautious10;18;Resets 0 ;stepsInResetRuns 0;Resets: 0 visitNo: 10 candSize: 50

gridworld.pm(N=50,p=0.999);cautious10;9;Resets 0 ;stepsInResetRuns 0;Resets: 0 visitNo: 10 candSize: 2499

gridworld.pm(N=50,p=0.999);cautious10;12;Resets 0 ;stepsInResetRuns 0;Resets: 0 visitNo: 10 candSize: 2499

gridworld.pm(N=50,p=0.999);cautious10;0;Resets 0 ;stepsInResetRuns 0;Resets: 0 visitNo: 10 candSize: 2499

gridworld.pm(N=50,p=0.999);cautious10;13;Resets 1 ;stepsInResetRuns 245954;Resets: 1 visitNo: 10 candSize: 2499

gridworld.pm(N=50,p=0.999);cautious10;17;Resets 0 ;stepsInResetRuns 0;Resets: 0 visitNo: 10 candSize: 2499

gridworld.pm(N=50,p=0.999);cautious10;16;Resets 0 ;stepsInResetRuns 0;Resets: 0 visitNo: 10 candSize: 2499

crowds_nodl.pm(TotalRuns=6,CrowdSize=15);cautious10;4;Resets 0 ;stepsInResetRuns 0;Resets: 0 visitNo: 10 candSize: 1

crowds_nodl.pm(TotalRuns=6,CrowdSize=15);cautious10;3;Resets 0 ;stepsInResetRuns 0;Resets: 0 visitNo: 10 candSize: 1

crowds_nodl.pm(TotalRuns=6,CrowdSize=15);cautious10;8;Resets 0 ;stepsInResetRuns 0;Resets: 0 visitNo: 10 candSize: 1

