Model;Approach;Repetition;Stats;lastCandPrint
scale.pm(N=10,M=50);bold05;8;Resets 3 ;stepsInResetRuns 21093;Resets: 3 visitNo: 224 candSize: 50

herman17_oneinit.pm();bold05;18;TO;Resets: 0 visitNo: 7206913 candSize: 34

gridworld.pm(N=50,p=0.999);bold05;6;TO;Resets: 0 visitNo: 1551917 candSize: 2499

gridworld.pm(N=50,p=0.999);bold05;18;TO;Resets: 0 visitNo: 1672857 candSize: 2499

scale.pm(N=10,M=50);bold05;9;Resets 2 ;stepsInResetRuns 12378;Resets: 2 visitNo: 128 candSize: 50

crowds_nodl.pm(TotalRuns=6,CrowdSize=15);bold05;2;Resets 0 ;stepsInResetRuns 0;Resets: 0 visitNo: 69 candSize: 1

gridworld.pm(N=50,p=0.999);bold05;19;TO;Resets: 0 visitNo: 1843771 candSize: 2499

scale.pm(N=10,M=50);bold05;10;Resets 2 ;stepsInResetRuns 8;Resets: 2 visitNo: 79 candSize: 50

scale.pm(N=10,M=50);bold05;4;Resets 1 ;stepsInResetRuns 2;Resets: 1 visitNo: 72 candSize: 50

gridworld.pm(N=50,p=0.999);bold05;7;TO;Resets: 0 visitNo: 2335525 candSize: 2499

gridworld.pm(N=50,p=0.999);bold05;8;TO;Resets: 0 visitNo: 1614886 candSize: 2499

crowds_nodl.pm(TotalRuns=6,CrowdSize=15);bold05;15;Resets 4 ;stepsInResetRuns 789;Resets: 4 visitNo: 228 candSize: 1

scale.pm(N=10,M=50);bold05;5;Resets 1 ;stepsInResetRuns 5;Resets: 1 visitNo: 82 candSize: 50

gridworld.pm(N=50,p=0.999);bold05;2;TO;Resets: 0 visitNo: 1559913 candSize: 2499

scale.pm(N=10,M=50);bold05;11;Resets 8 ;stepsInResetRuns 116362;Resets: 8 visitNo: 515 candSize: 50

crowds_nodl.pm(TotalRuns=6,CrowdSize=15);bold05;14;Resets 0 ;stepsInResetRuns 0;Resets: 0 visitNo: 156 candSize: 1

gridworld.pm(N=50,p=0.999);bold05;3;TO;Resets: 0 visitNo: 1545920 candSize: 2499

crowds_nodl.pm(TotalRuns=6,CrowdSize=15);bold05;8;Resets 0 ;stepsInResetRuns 0;Resets: 0 visitNo: 199 candSize: 1

gridworld.pm(N=50,p=0.999);bold05;9;TO;Resets: 0 visitNo: 1951717 candSize: 2499

crowds_nodl.pm(TotalRuns=6,CrowdSize=15);bold05;9;Resets 1 ;stepsInResetRuns 201;Resets: 1 visitNo: 185 candSize: 1

crowds_nodl.pm(TotalRuns=6,CrowdSize=15);bold05;11;Resets 0 ;stepsInResetRuns 0;Resets: 0 visitNo: 25 candSize: 1

crowds_nodl.pm(TotalRuns=6,CrowdSize=15);bold05;10;Resets 0 ;stepsInResetRuns 0;Resets: 0 visitNo: 83 candSize: 1

scale.pm(N=10,M=50);bold05;17;Resets 7 ;stepsInResetRuns 92985;Resets: 7 visitNo: 436 candSize: 50

scale.pm(N=10,M=50);bold05;16;Resets 6 ;stepsInResetRuns 70150;Resets: 6 visitNo: 382 candSize: 50

gridworld.pm(N=50,p=0.999);bold05;15;TO;Resets: 0 visitNo: 1845770 candSize: 2499

crowds_nodl.pm(TotalRuns=6,CrowdSize=15);bold05;4;Resets 4 ;stepsInResetRuns 776;Resets: 4 visitNo: 373 candSize: 1

crowds_nodl.pm(TotalRuns=6,CrowdSize=15);bold05;16;Resets 0 ;stepsInResetRuns 0;Resets: 0 visitNo: 112 candSize: 1

crowds_nodl.pm(TotalRuns=6,CrowdSize=15);bold05;17;Resets 0 ;stepsInResetRuns 0;init
gridworld.pm(N=50,p=0.999);bold05;14;TO;Resets: 0 visitNo: 1749818 candSize: 2499

crowds_nodl.pm(TotalRuns=6,CrowdSize=15);bold05;5;Resets 0 ;stepsInResetRuns 0;Resets: 0 visitNo: 112 candSize: 1

crowds_nodl.pm(TotalRuns=6,CrowdSize=15);bold05;6;Resets 1 ;stepsInResetRuns 123;Resets: 1 visitNo: 98 candSize: 1

crowds_nodl.pm(TotalRuns=6,CrowdSize=15);bold05;0;Resets 1 ;stepsInResetRuns 112;Resets: 1 visitNo: 112 candSize: 1

crowds_nodl.pm(TotalRuns=6,CrowdSize=15);bold05;1;Resets 1 ;stepsInResetRuns 133;Resets: 1 visitNo: 112 candSize: 1

crowds_nodl.pm(TotalRuns=6,CrowdSize=15);bold05;18;Resets 2 ;stepsInResetRuns 437;Resets: 2 visitNo: 214 candSize: 1

crowds_nodl.pm(TotalRuns=6,CrowdSize=15);bold05;19;Resets 0 ;stepsInResetRuns 0;Resets: 0 visitNo: 25 candSize: 1

crowds_nodl.pm(TotalRuns=6,CrowdSize=15);bold05;7;Resets 0 ;stepsInResetRuns 0;Resets: 0 visitNo: 40 candSize: 1

crowds_nodl.pm(TotalRuns=6,CrowdSize=15);bold05;13;Resets 3 ;stepsInResetRuns 660;Resets: 3 visitNo: 243 candSize: 1

crowds_nodl.pm(TotalRuns=6,CrowdSize=15);bold05;12;Resets 0 ;stepsInResetRuns 0;Resets: 0 visitNo: 40 candSize: 1

