logs/log-bluetooth_oneinit.pm(mrec=4)-prop1_qual.pctl-cautious1-7.log,bluetooth_oneinit.pm,mrec=4,,0.1,Resets 0 ;stepsInResetRuns 0
logs/log-bluetooth_oneinit.pm(mrec=4)-prop1_qual.pctl-cautious1-8.log,bluetooth_oneinit.pm,mrec=4,,0.1,Resets 6 ;stepsInResetRuns 2830
logs/log-bluetooth_oneinit.pm(mrec=4)-prop1_qual.pctl-cautious1-9.log,bluetooth_oneinit.pm,mrec=4,,0.1,Resets 8 ;stepsInResetRuns 3400
logs/log-bluetooth_oneinit.pm(mrec=4)-prop1_qual.pctl-cautious10-0.log,bluetooth_oneinit.pm,mrec=4,,1,Resets 5 ;stepsInResetRuns 2446
logs/log-bluetooth_oneinit.pm(mrec=4)-prop1_qual.pctl-cautious10-1.log,bluetooth_oneinit.pm,mrec=4,,1,Resets 2 ;stepsInResetRuns 1068
logs/log-bluetooth_oneinit.pm(mrec=4)-prop1_qual.pctl-cautious10-10.log,bluetooth_oneinit.pm,mrec=4,,1,Resets 2 ;stepsInResetRuns 1132
logs/log-bluetooth_oneinit.pm(mrec=4)-prop1_qual.pctl-cautious10-11.log,bluetooth_oneinit.pm,mrec=4,,1,Resets 2 ;stepsInResetRuns 1004
logs/log-bluetooth_oneinit.pm(mrec=4)-prop1_qual.pctl-cautious10-12.log,bluetooth_oneinit.pm,mrec=4,,1,Resets 1 ;stepsInResetRuns 374
logs/log-bluetooth_oneinit.pm(mrec=4)-prop1_qual.pctl-cautious10-13.log,bluetooth_oneinit.pm,mrec=4,,1,Resets 3 ;stepsInResetRuns 1602
logs/log-bluetooth_oneinit.pm(mrec=4)-prop1_qual.pctl-cautious10-14.log,bluetooth_oneinit.pm,mrec=4,,1,Resets 7 ;stepsInResetRuns 3418
logs/log-bluetooth_oneinit.pm(mrec=4)-prop1_qual.pctl-cautious10-15.log,bluetooth_oneinit.pm,mrec=4,,1,Resets 0 ;stepsInResetRuns 0
logs/log-bluetooth_oneinit.pm(mrec=4)-prop1_qual.pctl-cautious10-16.log,bluetooth_oneinit.pm,mrec=4,,1,Resets 3 ;stepsInResetRuns 1378
logs/log-bluetooth_oneinit.pm(mrec=4)-prop1_qual.pctl-cautious10-17.log,bluetooth_oneinit.pm,mrec=4,,1,Resets 27 ;stepsInResetRuns 14066
logs/log-bluetooth_oneinit.pm(mrec=4)-prop1_qual.pctl-cautious10-18.log,bluetooth_oneinit.pm,mrec=4,,1,Resets 1 ;stepsInResetRuns 406
logs/log-bluetooth_oneinit.pm(mrec=4)-prop1_qual.pctl-cautious10-19.log,bluetooth_oneinit.pm,mrec=4,,1,Resets 3 ;stepsInResetRuns 1634
logs/log-bluetooth_oneinit.pm(mrec=4)-prop1_qual.pctl-cautious10-2.log,bluetooth_oneinit.pm,mrec=4,,1,Resets 5 ;stepsInResetRuns 2958
logs/log-bluetooth_oneinit.pm(mrec=4)-prop1_qual.pctl-cautious10-3.log,bluetooth_oneinit.pm,mrec=4,,1,Resets 0 ;stepsInResetRuns 0
logs/log-bluetooth_oneinit.pm(mrec=4)-prop1_qual.pctl-cautious10-4.log,bluetooth_oneinit.pm,mrec=4,,1,Resets 0 ;stepsInResetRuns 0
logs/log-bluetooth_oneinit.pm(mrec=4)-prop1_qual.pctl-cautious10-5.log,bluetooth_oneinit.pm,mrec=4,,1,Resets 9 ;stepsInResetRuns 4454
logs/log-bluetooth_oneinit.pm(mrec=4)-prop1_qual.pctl-cautious10-6.log,bluetooth_oneinit.pm,mrec=4,,1,Resets 11 ;stepsInResetRuns 5362
logs/log-bluetooth_oneinit.pm(mrec=4)-prop1_qual.pctl-cautious10-7.log,bluetooth_oneinit.pm,mrec=4,,1,Resets 2 ;stepsInResetRuns 844
logs/log-bluetooth_oneinit.pm(mrec=4)-prop1_qual.pctl-cautious10-8.log,bluetooth_oneinit.pm,mrec=4,,1,Resets 2 ;stepsInResetRuns 972
logs/log-bluetooth_oneinit.pm(mrec=4)-prop1_qual.pctl-cautious10-9.log,bluetooth_oneinit.pm,mrec=4,,1,Resets 12 ;stepsInResetRuns 6760
"logs/log-crowds_nodl.pm(TotalRuns=6,CrowdSize=15)-prop1_qual.pctl-bold01-0.log",crowds_nodl.pm,"'TotalRuns=6,CrowdSize=15'",,0.1,Resets 1 ;stepsInResetRuns 90
"logs/log-crowds_nodl.pm(TotalRuns=6,CrowdSize=15)-prop1_qual.pctl-bold01-1.log",crowds_nodl.pm,"'TotalRuns=6,CrowdSize=15'",,0.1,Resets 2 ;stepsInResetRuns 258
"logs/log-crowds_nodl.pm(TotalRuns=6,CrowdSize=15)-prop1_qual.pctl-bold01-10.log",crowds_nodl.pm,"'TotalRuns=6,CrowdSize=15'",,0.1,Resets 1 ;stepsInResetRuns 229
"logs/log-crowds_nodl.pm(TotalRuns=6,CrowdSize=15)-prop1_qual.pctl-bold01-11.log",crowds_nodl.pm,"'TotalRuns=6,CrowdSize=15'",,0.1,Resets 0 ;stepsInResetRuns 0
"logs/log-crowds_nodl.pm(TotalRuns=6,CrowdSize=15)-prop1_qual.pctl-bold01-12.log",crowds_nodl.pm,"'TotalRuns=6,CrowdSize=15'",,0.1,Resets 1 ;stepsInResetRuns 143
"logs/log-crowds_nodl.pm(TotalRuns=6,CrowdSize=15)-prop1_qual.pctl-bold01-13.log",crowds_nodl.pm,"'TotalRuns=6,CrowdSize=15'",,0.1,Resets 0 ;stepsInResetRuns 0
